Lead ID,Location,College,Year of Study,Program Interest,Lead Source
LD3369,City_46,College_160,3rd,ML,
LD3370,City_82,College_64,3rd,Cyber Security,College Collaboration
LD3371,City_14,College_197,4th,statistics,Whatsapp
LD3372,City_64,College_50,4th,Data Science,Google Form
LD3373,City_100,College_50,3rd,Robotics,College Collaboration
LD3374,City_83,College_67,4th,Data Science,College Collaboration
LD3375,City_66,College_185,2nd,Data Science,Instagram
LD3376,City_100,College_163,3rd,AI,Instagram
LD3377,City_42,College_39,3rd,ML,Mass-Mailing
LD3378,City_50,College_31,4th,Cyber Security,Whatsapp
LD3379,City_76,College_160,2nd,Data Science,Google Form
LD3380,City_75,College_152,2nd,AI,X
LD3381,City_71,College_62,2nd,Data Science,LinkedIn
LD3382,City_80,College_183,3rd,ML,
LD3383,City_50,College_19,3rd,statistics,College Collaboration
LD3384,City_82,College_114,1st,Cyber Security,Whatsapp
LD3385,City_47,College_102,3rd,Data Science,Instagram
LD3386,City_82,College_3,2nd,,Mass-Mailing
LD3387,City_64,College_127,3rd,AI,Instagram
LD3388,City_75,College_188,1st,Electric Vehicle,LinkedIn
LD3389,City_96,College_10,3rd,AI,College Collaboration
LD3390,City_72,College_129,1st,statistics,Other
LD3391,,College_77,1st,,Mass-Mailing
LD3392,City_1,College_131,1st,statistics,Instagram
LD3393,City_66,College_119,2nd,Cyber Security,LinkedIn
LD3394,City_76,College_199,4th,Robotics,Google Form
LD3395,City_64,College_12,3rd,Cyber Security,College Collaboration
LD3396,City_44,College_77,2nd,Cyber Security,Instagram
LD3397,City_70,College_187,3rd,statistics,Mass-Mailing
LD3398,City_43,College_190,2nd,Cyber Security,Instagram
LD3399,City_43,College_64,3rd,Data Science,LinkedIn
LD3400,City_62,College_146,1st,statistics,Google Form
LD3401,City_87,College_14,1st,statistics,Instagram
LD3402,City_60,College_9,3rd,Cyber Security,X
LD3403,City_41,College_187,2nd,Robotics,X
LD3404,City_32,College_113,4th,AI,College Collaboration
LD3405,City_4,College_77,2nd,Data Science,X
LD3406,City_60,College_199,2nd,Data Science,College Collaboration
LD3407,City_76,College_102,3rd,Data Science,
LD3408,City_55,College_199,1st,statistics,Instagram
LD3409,City_91,,2nd,AI,Mass-Mailing
LD3410,City_85,College_50,3rd,Cyber Security,College Collaboration
LD3411,City_84,College_124,1st,AI,College Collaboration
LD3412,City_4,College_167,4th,,College Collaboration
LD3413,City_10,College_115,1st,statistics,Instagram
LD3414,City_25,College_28,1st,Cyber Security,Whatsapp
LD3415,City_15,College_113,3rd,ML,Whatsapp
LD3416,City_5,College_92,4th,,X
LD3417,City_85,College_171,2nd,Electric Vehicle,Instagram
LD3418,City_30,College_189,2nd,statistics,Whatsapp
LD3419,City_23,College_102,4th,ML,LinkedIn
LD3420,City_82,College_6,3rd,Data Science,X
LD3421,City_40,College_39,2nd,Cyber Security,Google Form
LD3422,City_15,College_26,2nd,Data Science,Mass-Mailing
LD3423,City_13,College_151,3rd,Data Science,Instagram
LD3424,City_40,College_126,3rd,Data Science,LinkedIn
LD3425,City_61,College_151,2nd,Data Science,X
LD3426,City_43,College_170,1st,Data Science,LinkedIn
LD3427,City_77,College_88,4th,AI,
LD3428,City_63,College_113,2nd,Data Science,College Collaboration
LD3429,City_23,College_71,3rd,ML,LinkedIn
LD3430,City_76,College_115,4th,Data Science,Instagram
LD3431,City_64,College_147,3rd,Data Science,LinkedIn
LD3432,City_47,College_89,1st,Cyber Security,LinkedIn
LD3433,City_58,College_44,,Electric Vehicle,College Collaboration
LD3434,City_23,College_27,2nd,statistics,Instagram
LD3435,City_87,College_14,2nd,,College Collaboration
LD3436,City_93,College_38,3rd,Data Science,Whatsapp
LD3437,City_58,College_163,2nd,Robotics,Google Form
LD3438,City_33,College_81,4th,ML,Google Form
LD3439,City_78,College_163,2nd,Electric Vehicle,LinkedIn
LD3440,City_61,College_96,3rd,Cyber Security,Mass-Mailing
LD3441,City_63,College_160,4th,Data Science,X
LD3442,City_52,College_167,4th,Electric Vehicle,Mass-Mailing
LD3443,City_45,College_20,2nd,Data Science,Instagram
LD3444,City_77,College_32,1st,Electric Vehicle,Other
LD3445,City_77,College_67,4th,,Google Form
LD3446,City_1,College_165,4th,Data Science,LinkedIn
LD3447,City_47,College_157,2nd,Cyber Security,College Collaboration
LD3448,City_45,College_113,10th,Data Science,Mass-Mailing
LD3449,City_82,College_62,3rd,Data Science,Whatsapp
LD3450,City_80,College_65,2nd,Data Science,LinkedIn
LD3451,,College_74,1st,statistics,College Collaboration
LD3452,City_1,College_157,2nd,Cyber Security,
LD3453,City_87,College_62,10th,Data Science,Instagram
LD3454,City_77,College_195,4th,AI,LinkedIn
LD3455,City_39,,,Cyber Security,College Collaboration
LD3456,City_87,College_61,1st,,Instagram
LD3457,City_96,College_76,2nd,Cyber Security,Mass-Mailing
LD3458,City_68,,2nd,Data Science,LinkedIn
LD3459,City_15,College_112,2nd,Electric Vehicle,X
LD3460,,College_146,2nd,AI,
LD3461,City_19,College_96,1st,AI,College Collaboration
LD3462,City_85,College_31,4th,statistics,Mass-Mailing
LD3463,City_68,College_77,1st,ML,Google Form
LD3464,City_71,College_64,2nd,AI,Mass-Mailing
LD3465,City_100,College_54,1st,Cyber Security,Google Form
LD3466,City_78,College_8,2nd,statistics,LinkedIn
LD3467,City_87,College_76,3rd,AI,Instagram
LD3468,City_21,College_22,2nd,ML,Whatsapp
LD3469,City_80,College_42,4th,ML,College Collaboration
LD3470,City_49,College_177,2nd,ML,X
LD3471,City_41,College_42,2nd,Electric Vehicle,LinkedIn
LD3472,City_26,College_190,3rd,Electric Vehicle,Google Form
LD3473,,College_120,3rd,ML,Mass-Mailing
LD3474,City_9,College_183,2nd,ML,College Collaboration
LD3475,City_39,College_189,1st,Robotics,College Collaboration
LD3476,City_50,College_119,1st,Cyber Security,Whatsapp
LD3477,City_94,College_25,2nd,,Google Form
LD3478,City_68,College_177,3rd,Data Science,College Collaboration
LD3479,City_61,College_142,3rd,statistics,College Collaboration
LD3480,City_33,College_77,2nd,ML,LinkedIn
LD3481,City_93,College_163,2nd,statistics,Whatsapp
LD3482,City_9,College_92,2nd,Data Science,Whatsapp
LD3483,City_55,College_177,4th,ML,College Collaboration
LD3484,City_41,College_9,4th,Robotics,Instagram
LD3485,City_70,College_45,2nd,Robotics,Whatsapp
LD3486,,College_118,4th,ML,Whatsapp
LD3487,City_73,College_9,1st,ML,Google Form
LD3488,City_76,College_22,3rd,statistics,College Collaboration
LD3489,City_64,College_160,2nd,Data Science,Google Form
LD3490,City_21,College_75,1st,ML,LinkedIn
LD3491,City_55,College_119,3rd,Data Science,College Collaboration
LD3492,City_24,College_110,2nd,statistics,Google Form
LD3493,,College_113,2nd,statistics,LinkedIn
LD3494,City_93,,3rd,,Whatsapp
LD3495,City_3,College_153,4th,,Whatsapp
LD3496,,College_25,4th,AI,Whatsapp
LD3497,City_50,College_128,2nd,,Instagram
LD3498,City_30,College_56,1st,Data Science,College Collaboration
LD3499,City_39,College_146,1st,Data Science,LinkedIn
LD3500,City_55,College_34,2nd,AI,College Collaboration
LD3501,City_18,College_174,2nd,AI,Instagram
LD3502,City_64,College_199,2nd,,Google Form
LD3503,City_44,College_153,2nd,Cyber Security,Instagram
LD3504,City_9,College_117,2nd,AI,LinkedIn
LD3505,City_85,College_59,3rd,Data Science,College Collaboration
LD3506,City_43,College_193,4th,statistics,Whatsapp
LD3507,City_63,,,statistics,Mass-Mailing
LD3508,City_82,College_65,1st,AI,College Collaboration
LD3509,City_96,College_28,1st,,
LD3510,City_87,College_35,2nd,Data Science,College Collaboration
LD3511,City_4,College_163,3rd,ML,College Collaboration
LD3512,City_80,College_164,4th,ML,LinkedIn
LD3513,City_64,College_171,3rd,Cyber Security,LinkedIn
LD3514,City_77,College_62,2nd,Data Science,Google Form
LD3515,City_44,College_100,1st,Cyber Security,Instagram
LD3516,City_100,College_188,4th,AI,Whatsapp
LD3517,City_82,College_157,3rd,,College Collaboration
LD3518,City_52,College_89,2nd,ML,X
LD3519,City_77,College_102,1st,Cyber Security,Whatsapp
LD3520,,College_22,3rd,Cyber Security,Instagram
LD3521,City_5,College_182,4th,Electric Vehicle,College Collaboration
LD3522,City_46,College_113,1st,Data Science,Google Form
LD3523,City_45,College_183,2nd,AI,X
LD3524,City_33,College_127,3rd,statistics,College Collaboration
LD3525,City_84,College_190,1st,ML,Whatsapp
LD3526,City_2,College_26,2nd,Cyber Security,Whatsapp
LD3527,City_63,College_39,2nd,Cyber Security,Instagram
LD3528,City_9,College_70,2nd,Data Science,LinkedIn
LD3529,City_5,College_27,1st,statistics,Whatsapp
LD3530,City_64,College_187,1st,ML,LinkedIn
LD3531,City_87,College_77,3rd,Data Science,College Collaboration
LD3532,City_82,,2nd,Data Science,Instagram
LD3533,City_68,College_146,3rd,statistics,Instagram
LD3534,City_9,College_95,2nd,AI,Instagram
LD3535,City_55,College_44,2nd,Electric Vehicle,Google Form
LD3536,City_58,College_139,1st,Robotics,Google Form
LD3537,City_3,College_135,3rd,ML,LinkedIn
LD3538,City_41,College_77,3rd,,Instagram
LD3539,City_1,College_77,2nd,statistics,College Collaboration
LD3540,City_47,College_50,2nd,statistics,Whatsapp
LD3541,City_89,College_27,4th,Robotics,Whatsapp
LD3542,City_75,College_171,2nd,Cyber Security,X
LD3543,City_4,College_142,3rd,Data Science,College Collaboration
LD3544,City_10,,3rd,Cyber Security,Google Form
LD3545,City_13,College_133,1st,ML,College Collaboration
LD3546,City_4,College_127,4th,,Google Form
LD3547,City_8,College_171,2nd,AI,College Collaboration
LD3548,City_73,College_114,2nd,Data Science,Mass-Mailing
LD3549,City_93,College_157,2nd,AI,Whatsapp
LD3550,City_44,College_129,4th,statistics,Instagram
LD3551,City_74,College_167,4th,Electric Vehicle,LinkedIn
LD3552,City_1,College_113,3rd,Robotics,LinkedIn
LD3553,City_83,College_183,4th,Data Science,X
LD3554,City_68,College_152,4th,Data Science,LinkedIn
LD3555,City_4,College_26,2nd,Data Science,College Collaboration
LD3556,City_9,College_113,3rd,Data Science,Instagram
LD3557,City_15,,3rd,Data Science,X
LD3558,City_19,College_102,1st,statistics,College Collaboration
LD3559,City_23,College_78,2nd,Cyber Security,College Collaboration
LD3560,City_43,College_158,2nd,Electric Vehicle,College Collaboration
LD3561,City_84,College_113,3rd,statistics,College Collaboration
LD3562,City_98,College_143,1st,,Instagram
LD3563,City_1,College_167,4th,Electric Vehicle,
LD3564,City_41,College_195,1st,Data Science,LinkedIn
LD3565,City_5,College_19,1st,ML,College Collaboration
LD3566,City_82,College_27,1st,AI,College Collaboration
LD3567,City_87,College_20,4th,statistics,Google Form
LD3568,City_64,College_114,4th,ML,Instagram
LD3569,City_11,College_110,1st,Data Science,LinkedIn
LD3570,City_34,College_81,2nd,AI,Instagram
LD3571,City_21,College_113,4th,Data Science,College Collaboration
LD3572,City_63,College_124,2nd,Cyber Security,Whatsapp
LD3573,City_74,College_102,3rd,Data Science,Instagram
LD3574,City_92,,3rd,ML,Google Form
LD3575,City_9,College_188,4th,statistics,LinkedIn
LD3576,City_13,College_89,3rd,Cyber Security,Google Form
LD3577,City_77,College_80,2nd,AI,
LD3578,City_5,College_39,3rd,Robotics,Instagram
LD3579,City_39,College_77,1st,ML,Instagram
LD3580,City_85,College_187,4th,Data Science,Whatsapp
LD3581,City_19,College_62,3rd,Electric Vehicle,Mass-Mailing
LD3582,,College_125,1st,Cyber Security,Google Form
LD3583,City_51,College_24,2nd,Robotics,Whatsapp
LD3584,City_21,College_110,3rd,Robotics,Instagram
LD3585,City_5,College_56,1st,ML,Google Form
LD3586,City_70,College_145,3rd,ML,LinkedIn
LD3587,City_87,College_27,3rd,,X
LD3588,City_60,College_160,2nd,Data Science,LinkedIn
LD3589,City_44,College_69,1st,Robotics,Instagram
LD3590,City_69,College_25,3rd,Data Science,Instagram
LD3591,City_15,,2nd,Robotics,LinkedIn
LD3592,City_13,College_85,4th,Data Science,College Collaboration
LD3593,City_47,College_31,4th,Cyber Security,Mass-Mailing
LD3594,City_39,College_102,2nd,statistics,Google Form
LD3595,City_64,College_68,1st,ML,
LD3596,City_84,College_171,2nd,statistics,College Collaboration
LD3597,City_73,,4th,statistics,Google Form
LD3598,City_45,College_133,1st,,
LD3599,City_24,College_96,1st,ML,College Collaboration
LD3600,City_5,College_114,3rd,Data Science,Instagram
LD3601,City_76,College_60,2nd,Cyber Security,Other
LD3602,City_4,College_133,3rd,Electric Vehicle,College Collaboration
LD3603,City_52,College_56,1st,Data Science,College Collaboration
LD3604,City_60,College_137,2nd,Data Science,Google Form
LD3605,City_47,College_146,2nd,Cyber Security,LinkedIn
LD3606,City_5,College_130,2nd,ML,Google Form
LD3607,City_4,College_75,4th,AI,Google Form
LD3608,City_82,College_110,3rd,,College Collaboration
LD3609,City_4,College_74,3rd,ML,College Collaboration
LD3610,City_63,College_56,1st,statistics,College Collaboration
LD3611,City_45,College_119,4th,Electric Vehicle,Google Form
LD3612,City_1,College_76,3rd,Data Science,LinkedIn
LD3613,City_16,College_157,3rd,statistics,Instagram
LD3614,City_78,College_114,3rd,Cyber Security,Instagram
LD3615,City_60,College_113,3rd,Data Science,Instagram
LD3616,,College_56,4th,Cyber Security,Whatsapp
LD3617,City_39,College_71,2nd,Electric Vehicle,Google Form
LD3618,City_82,College_185,4th,Electric Vehicle,Instagram
LD3619,City_83,College_127,4th,Electric Vehicle,Mass-Mailing
LD3620,City_4,College_34,4th,Cyber Security,LinkedIn
LD3621,City_32,College_133,2nd,AI,College Collaboration
LD3622,City_41,College_171,2nd,Data Science,X
LD3623,City_5,College_189,2nd,AI,College Collaboration
LD3624,City_98,College_188,3rd,Data Science,X
LD3625,City_2,College_71,2nd,Electric Vehicle,Instagram
LD3626,City_87,College_113,2nd,Cyber Security,
LD3627,City_28,College_74,1st,Cyber Security,LinkedIn
LD3628,City_57,College_39,3rd,Cyber Security,Instagram
LD3629,City_82,College_113,3rd,Cyber Security,College Collaboration
LD3630,City_9,College_115,1st,ML,Whatsapp
LD3631,City_74,College_190,4th,Electric Vehicle,College Collaboration
LD3632,City_64,College_42,1st,ML,X
LD3633,City_51,College_34,2nd,Cyber Security,Whatsapp
LD3634,City_48,College_156,2nd,AI,Instagram
LD3635,City_63,College_157,3rd,Data Science,College Collaboration
LD3636,City_90,College_179,3rd,,Google Form
LD3637,City_13,College_22,2nd,Cyber Security,Whatsapp
LD3638,City_50,College_135,4th,Data Science,College Collaboration
LD3639,City_55,College_127,3rd,Cyber Security,Google Form
LD3640,City_4,College_124,4th,Data Science,Mass-Mailing
LD3641,City_39,College_26,2nd,statistics,College Collaboration
LD3642,City_39,College_119,,Electric Vehicle,Google Form
LD3643,City_15,College_6,4th,Cyber Security,LinkedIn
LD3644,City_64,College_63,1st,statistics,Whatsapp
LD3645,City_85,College_22,3rd,Cyber Security,Google Form
LD3646,City_60,College_32,1st,Robotics,Instagram
LD3647,City_39,,3rd,Cyber Security,LinkedIn
LD3648,City_26,College_93,1st,ML,Google Form
LD3649,City_41,College_62,4th,,College Collaboration
LD3650,City_82,,4th,Data Science,X
LD3651,City_9,College_102,4th,statistics,College Collaboration
LD3652,City_26,College_64,4th,Data Science,Whatsapp
LD3653,City_64,College_190,3rd,statistics,Instagram
LD3654,City_69,College_147,2nd,Data Science,LinkedIn
LD3655,City_73,College_71,1st,,Whatsapp
LD3656,City_73,College_61,1st,Cyber Security,Mass-Mailing
LD3657,City_83,College_133,3rd,Data Science,Google Form
LD3658,City_82,College_31,1st,Electric Vehicle,Instagram
LD3659,City_5,College_99,1st,Robotics,Google Form
LD3660,City_68,College_195,4th,Robotics,Google Form
LD3661,City_9,College_32,3rd,AI,LinkedIn
LD3662,City_70,College_177,2nd,Robotics,College Collaboration
LD3663,,College_188,1st,ML,Instagram
LD3664,City_64,College_184,4th,Data Science,Mass-Mailing
LD3665,City_41,College_22,2nd,AI,Instagram
LD3666,City_69,College_146,1st,Cyber Security,College Collaboration
LD3667,City_64,College_52,4th,ML,College Collaboration
LD3668,City_45,College_110,2nd,statistics,Mass-Mailing
LD3669,City_87,College_113,3rd,AI,LinkedIn
LD3670,City_47,College_65,4th,statistics,Whatsapp
LD3671,City_39,College_158,1st,Cyber Security,College Collaboration
LD3672,City_64,College_167,1st,,LinkedIn
LD3673,City_71,College_80,1st,statistics,College Collaboration
LD3674,City_51,College_31,1st,Data Science,LinkedIn
LD3675,City_45,College_74,1st,ML,Whatsapp
LD3676,City_96,College_38,3rd,Cyber Security,Google Form
LD3677,,College_107,3rd,Cyber Security,Google Form
LD3678,City_55,College_199,2nd,Data Science,
LD3679,City_14,College_173,3rd,Electric Vehicle,Whatsapp
LD3680,City_30,College_170,3rd,AI,Google Form
LD3681,City_40,College_60,1st,statistics,Google Form
LD3682,City_97,College_154,4th,Data Science,College Collaboration
LD3683,City_93,College_22,2nd,Robotics,Whatsapp
LD3684,City_55,College_26,1st,Data Science,LinkedIn
LD3685,City_80,College_77,1st,Cyber Security,Google Form
LD3686,City_55,College_56,1st,Cyber Security,Whatsapp
LD3687,City_47,College_124,2nd,AI,
LD3688,City_85,College_135,2nd,Data Science,Mass-Mailing
LD3689,City_61,College_91,1st,Cyber Security,Instagram
LD3690,City_70,College_89,3rd,AI,College Collaboration
LD3691,City_82,College_89,4th,Robotics,Mass-Mailing
LD3692,City_20,,4th,Cyber Security,X
LD3693,City_58,College_62,1st,AI,Whatsapp
LD3694,City_58,College_133,1st,Data Science,Whatsapp
LD3695,City_23,College_159,2nd,Cyber Security,Google Form
LD3696,City_87,College_180,1st,Cyber Security,Instagram
LD3697,City_51,College_158,1st,,Whatsapp
LD3698,City_89,College_113,3rd,Data Science,Instagram
LD3699,City_87,College_195,3rd,Data Science,Google Form
LD3700,City_13,College_62,2nd,Data Science,X
LD3701,City_83,College_93,4th,Robotics,X
LD3702,City_68,College_117,2nd,ML,Instagram
LD3703,City_82,College_127,1st,Robotics,Instagram
LD3704,City_40,College_170,1st,Cyber Security,College Collaboration
LD3705,City_92,College_190,1st,Cyber Security,LinkedIn
LD3706,City_9,College_67,2nd,ML,College Collaboration
LD3707,City_9,College_135,4th,Robotics,X
LD3708,City_77,College_113,2nd,Cyber Security,Instagram
LD3709,City_78,College_54,3rd,Data Science,LinkedIn
LD3710,City_77,College_95,3rd,Cyber Security,College Collaboration
LD3711,City_77,College_180,3rd,Data Science,College Collaboration
LD3712,City_21,College_101,3rd,Data Science,LinkedIn
LD3713,City_13,,1st,Cyber Security,LinkedIn
LD3714,City_80,College_19,3rd,Data Science,LinkedIn
LD3715,City_5,,2nd,statistics,Google Form
LD3716,City_24,College_115,4th,ML,Google Form
LD3717,City_41,,4th,ML,X
LD3718,City_39,College_135,3rd,statistics,College Collaboration
LD3719,City_64,College_146,3rd,statistics,Mass-Mailing
LD3720,City_87,College_45,1st,Electric Vehicle,Instagram
LD3721,City_39,College_133,1st,ML,Whatsapp
LD3722,City_45,College_147,1st,statistics,Google Form
LD3723,City_61,College_89,2nd,Data Science,College Collaboration
LD3724,City_70,College_148,1st,ML,LinkedIn
LD3725,City_61,College_80,3rd,AI,Mass-Mailing
LD3726,City_33,College_76,1st,ML,Mass-Mailing
LD3727,City_80,,4th,ML,Instagram
LD3728,City_33,College_77,1st,Robotics,Mass-Mailing
LD3729,City_70,College_115,2nd,Cyber Security,Instagram
LD3730,City_44,College_88,2nd,Data Science,Mass-Mailing
LD3731,City_61,College_121,4th,Cyber Security,Mass-Mailing
LD3732,City_26,College_77,2nd,Data Science,College Collaboration
LD3733,City_85,College_27,4th,Data Science,Instagram
LD3734,City_1,College_169,4th,AI,College Collaboration
LD3735,City_4,College_56,3rd,ML,Google Form
LD3736,City_2,College_73,4th,Data Science,
LD3737,City_5,College_193,2nd,statistics,Google Form
LD3738,City_55,College_120,1st,Electric Vehicle,College Collaboration
LD3739,City_47,College_152,2nd,Data Science,College Collaboration
LD3740,City_1,College_53,1st,statistics,Instagram
LD3741,City_1,College_50,4th,Cyber Security,Whatsapp
LD3742,City_47,College_198,4th,Robotics,Instagram
LD3743,City_5,College_199,2nd,Robotics,Instagram
LD3744,City_68,College_3,10th,Cyber Security,Google Form
LD3745,City_89,College_151,2nd,Data Science,Instagram
LD3746,City_89,College_64,3rd,Cyber Security,College Collaboration
LD3747,City_68,College_193,1st,Electric Vehicle,X
LD3748,City_39,College_34,4th,ML,College Collaboration
LD3749,City_30,College_198,1st,AI,Google Form
LD3750,City_17,College_34,2nd,AI,Google Form
LD3751,City_58,College_167,,AI,College Collaboration
LD3752,City_60,College_62,10th,Cyber Security,College Collaboration
LD3753,City_30,College_199,3rd,Cyber Security,Instagram
LD3754,City_9,College_51,1st,statistics,Instagram
LD3755,City_5,College_93,2nd,statistics,Whatsapp
LD3756,City_64,College_189,4th,statistics,LinkedIn
LD3757,City_58,College_42,1st,AI,Instagram
LD3758,City_80,College_113,4th,Robotics,Google Form
LD3759,City_96,College_146,3rd,Robotics,Mass-Mailing
LD3760,City_75,College_42,3rd,Data Science,LinkedIn
LD3761,City_100,College_97,2nd,Data Science,Instagram
LD3762,City_39,College_162,1st,ML,Instagram
LD3763,City_5,College_28,4th,Data Science,LinkedIn
LD3764,City_68,,1st,Cyber Security,Mass-Mailing
LD3765,City_68,College_170,4th,Cyber Security,Whatsapp
LD3766,City_64,College_102,1st,Robotics,Instagram
LD3767,City_85,College_4,4th,Data Science,College Collaboration
LD3768,City_46,College_199,4th,Cyber Security,Whatsapp
LD3769,City_4,College_50,2nd,Electric Vehicle,LinkedIn
LD3770,City_80,College_134,2nd,Cyber Security,Instagram
LD3771,City_10,College_73,4th,,Instagram
LD3772,City_9,College_99,2nd,ML,Google Form
LD3773,City_73,College_67,3rd,Data Science,LinkedIn
LD3774,City_77,College_71,3rd,,LinkedIn
LD3775,City_70,College_147,3rd,Data Science,Instagram
LD3776,City_64,College_134,3rd,Electric Vehicle,College Collaboration
LD3777,City_84,College_189,1st,,Instagram
LD3778,City_42,College_26,3rd,Robotics,Google Form
LD3779,City_83,College_6,3rd,Electric Vehicle,X
LD3780,City_82,College_171,3rd,Cyber Security,Google Form
LD3781,City_61,College_113,1st,statistics,College Collaboration
LD3782,,College_50,2nd,Cyber Security,Whatsapp
LD3783,City_51,College_161,2nd,statistics,Instagram
LD3784,City_41,College_14,4th,Robotics,College Collaboration
LD3785,City_26,College_160,3rd,ML,Mass-Mailing
LD3786,City_54,College_158,1st,Cyber Security,X
LD3787,City_39,College_23,2nd,AI,Instagram
LD3788,City_50,College_56,3rd,Robotics,College Collaboration
LD3789,City_19,College_107,4th,AI,Whatsapp
LD3790,City_25,College_44,3rd,Robotics,Mass-Mailing
LD3791,City_76,College_129,1st,Cyber Security,
LD3792,City_72,College_120,2nd,Electric Vehicle,Whatsapp
LD3793,City_47,,4th,Robotics,Google Form
LD3794,City_19,College_113,4th,Data Science,Mass-Mailing
LD3795,City_13,College_64,3rd,ML,X
LD3796,City_9,College_93,3rd,Data Science,Instagram
LD3797,City_93,College_56,4th,Data Science,LinkedIn
LD3798,City_84,College_27,2nd,AI,College Collaboration
LD3799,City_53,College_199,3rd,Data Science,Mass-Mailing
LD3800,City_47,College_147,2nd,Data Science,LinkedIn
LD3801,City_2,College_113,4th,,LinkedIn
LD3802,City_82,College_62,3rd,,
LD3803,City_26,College_77,4th,Data Science,LinkedIn
LD3804,City_64,College_77,2nd,Cyber Security,Google Form
LD3805,City_50,College_37,2nd,Data Science,College Collaboration
LD3806,City_15,,1st,,LinkedIn
LD3807,City_93,College_153,3rd,Data Science,Instagram
LD3808,City_64,College_75,1st,Data Science,Whatsapp
LD3809,City_75,College_114,1st,AI,College Collaboration
LD3810,City_88,College_119,1st,,Google Form
LD3811,City_84,College_126,2nd,ML,Instagram
LD3812,City_85,College_102,4th,ML,Instagram
LD3813,City_46,College_183,2nd,Data Science,
LD3814,City_100,College_145,4th,Data Science,College Collaboration
LD3815,City_61,College_115,2nd,Robotics,Whatsapp
LD3816,City_70,College_114,4th,statistics,College Collaboration
LD3817,City_21,College_56,2nd,AI,College Collaboration
LD3818,City_71,College_165,3rd,Electric Vehicle,College Collaboration
LD3819,City_6,College_61,4th,,LinkedIn
LD3820,City_70,College_56,1st,AI,LinkedIn
LD3821,City_77,College_110,1st,Data Science,Mass-Mailing
LD3822,City_19,College_115,3rd,Cyber Security,LinkedIn
LD3823,City_83,College_102,3rd,Data Science,Instagram
LD3824,City_57,College_53,2nd,,Mass-Mailing
LD3825,City_13,College_127,3rd,Data Science,Google Form
LD3826,City_44,College_85,3rd,statistics,LinkedIn
LD3827,City_68,College_119,1st,Cyber Security,College Collaboration
LD3828,City_58,College_45,1st,Cyber Security,College Collaboration
LD3829,,College_9,4th,Cyber Security,Instagram
LD3830,City_82,College_190,2nd,Data Science,Instagram
LD3831,City_47,College_20,2nd,Cyber Security,Mass-Mailing
LD3832,City_80,College_75,3rd,ML,Instagram
LD3833,City_40,College_177,3rd,Data Science,Mass-Mailing
LD3834,City_5,College_101,4th,Data Science,Instagram
LD3835,City_26,College_131,4th,ML,Google Form
LD3836,City_77,College_30,1st,statistics,College Collaboration
LD3837,City_58,College_73,4th,Robotics,College Collaboration
LD3838,City_48,College_85,3rd,Cyber Security,Other
LD3839,City_72,College_29,4th,Cyber Security,Instagram
LD3840,City_26,College_177,1st,Data Science,Mass-Mailing
LD3841,City_46,College_164,2nd,Robotics,Mass-Mailing
LD3842,City_26,College_31,4th,Data Science,Whatsapp
LD3843,City_93,College_178,2nd,Data Science,Google Form
LD3844,City_15,College_114,1st,ML,LinkedIn
LD3845,City_94,College_41,4th,ML,College Collaboration
LD3846,City_84,College_119,1st,Data Science,Whatsapp
LD3847,City_33,College_51,3rd,statistics,Google Form
LD3848,City_55,College_195,1st,Data Science,College Collaboration
LD3849,City_55,College_20,2nd,ML,Instagram
LD3850,City_9,College_62,4th,Cyber Security,Google Form
LD3851,City_98,College_16,1st,Data Science,College Collaboration
LD3852,City_44,College_31,3rd,statistics,Google Form
LD3853,City_53,College_195,4th,statistics,Whatsapp
LD3854,City_46,College_113,1st,ML,Instagram
LD3855,City_69,College_124,3rd,statistics,Instagram
LD3856,City_58,College_110,1st,Data Science,Instagram
LD3857,City_9,,2nd,ML,College Collaboration
LD3858,City_92,College_45,2nd,statistics,Mass-Mailing
LD3859,City_33,,1st,Data Science,College Collaboration
LD3860,City_50,College_56,1st,Data Science,LinkedIn
LD3861,City_51,College_115,3rd,Data Science,Instagram
LD3862,City_23,College_153,4th,ML,Google Form
LD3863,City_19,College_183,2nd,Cyber Security,Mass-Mailing
LD3864,City_23,,4th,Robotics,LinkedIn
LD3865,City_63,College_165,3rd,statistics,LinkedIn
LD3866,City_47,College_110,4th,Data Science,LinkedIn
LD3867,City_87,,2nd,ML,Mass-Mailing
LD3868,City_42,College_156,3rd,Data Science,Whatsapp
LD3869,City_9,College_45,4th,AI,Instagram
LD3870,City_85,College_189,2nd,ML,Instagram
LD3871,City_4,College_77,3rd,Data Science,Other
LD3872,City_2,College_89,2nd,Cyber Security,Google Form
LD3873,City_84,College_196,2nd,Electric Vehicle,College Collaboration
LD3874,City_93,College_155,3rd,,Google Form
LD3875,City_76,College_180,4th,AI,LinkedIn
LD3876,City_77,College_111,2nd,statistics,College Collaboration
LD3877,City_15,College_92,4th,statistics,Google Form
LD3878,,College_157,4th,AI,Instagram
LD3879,City_63,College_62,4th,,Mass-Mailing
LD3880,City_60,College_176,2nd,statistics,LinkedIn
LD3881,City_24,College_188,2nd,,Instagram
LD3882,City_19,College_113,2nd,,
LD3883,City_33,College_27,2nd,ML,Whatsapp
LD3884,City_39,,2nd,Data Science,Whatsapp
LD3885,City_64,College_95,2nd,,Instagram
LD3886,City_70,College_50,3rd,AI,Instagram
